MyParcel_MyParcelBE::Enabled,Geactiveerd
MyParcel_MyParcelBE::status_31,Inactief - Voorgemeld
MyParcel_MyParcelBE::status_32,Inactief - Aangeboden bij PostNL
MyParcel_MyParcelBE::status_33,Inactief - In sorteerprocess
MyParcel_MyParcelBE::status_34,Inactief - In distributie
MyParcel_MyParcelBE::status_35,Inactief - Zending bij douane
MyParcel_MyParcelBE::status_36,Inactief - Zending afgeleverd
MyParcel_MyParcelBE::status_37,Inactief - Zending op afhaallocatie
MyParcel_MyParcelBE::status_38,Inactief - Zending afgehaald op afhaallocatie
MyParcel_MyParcelBE::status_39,Inactief - Retourzending afgeleverd
MyParcel_MyParcelBE::status_40,Inactief - Retourzending op afhaallocactie
MyParcel_MyParcelBE::status_99,Inactief - Onbekende status

"All Allowed Countries","Alle toegestane landen"
"Specific Countries","Specifieke landen"
"The configuration has been saved.","De configuratie is opgeslagen."
"Weight vs. Destination","Gewicht vs. Bestemming"
"Price vs. Destination","Prijs vs. Bestemming"
"# of Items vs. Destination","# Items vs. Bestemming"
"Fixed","Vast"
"Percent","Percentage"
"MyParcel_MyParcelBE::There are no log files to be downloaded.","Er zijn geen log files om te downloaden."
MyParcel_MyParcelBE::PostNL location minimum order total enabled,PostNL locatie minimum totaal bedrag actief
"MyParcel_MyParcelBE::PostNL location minimum order total, incl. BTW","PostNL locatie minimum totaal bedrag, incl. BTW"
MyParcel_MyParcelBE::Mailbox title,Brievenbuspakje titel
MyParcel_MyParcelBE::Leave blank to automate mailbox packets only in the backend,Laat leeg om brievenbuspakjes alleen in de backend te automatiseren
MyParcel_MyParcelBE::Mailbox weight,Brievenbuspakje gewicht
MyParcel_MyParcelBE::Mailbox with other options,Brievenbuspakje tonen met andere opties
"MyParcel_MyParcelBE::Besides assigning weights to all products, you can also specify a volume of each product.","Om deze functie optimaal te gebruiken, stel je eerst het gewicht of volume in van jouw producten."
MyParcel_MyParcelBE::Mailbox fee,Brievenbuspakje prijs
MyParcel_MyParcelBE::Enter a basic price for a mailbox. The regular price will not affect this price.,Vul een totaalprijs in voor een brievenbuspakje.
MyParcel_MyParcelBE::Automate mailbox package,Brievenbuspakje automatiseren
"MyParcel_MyParcelBE::PostNL location will not be visible if the subtotal of an order is below this value","'Ophalen op een PostNL locatie' zal niet zichtbaar zijn als het bedrag van een bestelling onder deze waarde valt"

MyParcel_MyParcelBE::PostNL location:,PostNL locatie:
MyParcel_MyParcelBE::deliver:,bezorgen:
MyParcel_MyParcelBE::TYPE_morning,Ochtendlevering
MyParcel_MyParcelBE::TYPE_standard,Middaglevering
MyParcel_MyParcelBE::TYPE_night,Avondlevering
MyParcel_MyParcelBE::TYPE_retailexpress,Extra vroeg ophalen
